id1,entityname_original,entityname,Group1,Group1_id1,Group1_score,Group2,Group2_id1,Group2_score,Group3,Group3_id1,Group3_score,Group4,Group4_id1,Group4_score,Group5,Group5_id1,Group5_score,Group6,Group6_id1,Group6_score,Group7,Group7_id1,Group7_score,Group8,Group8_id1,Group8_score,Group9,Group9_id1,Group9_score,Group10,Group10_id1,Group10_score,Group11,Group11_id1,Group11_score,Group12,Group12_id1,Group12_score,Group13,Group13_id1,Group13_score,Group14,Group14_id1,Group14_score,Group15,Group15_id1,Group15_score,Group16,Group16_id1,Group16_score,Group17,Group17_id1,Group17_score,Group18,Group18_id1,Group18_score,Group19,Group19_id1,Group19_score,Group20,Group20_id1,Group20_score
6866,"Computer Science Department, TECHNION - Israel Institute of Technology, Technion City, Haifa 32000, Israel","Computer Science Department, TECHNION - Israel Institute of Technology, Technion City, Haifa 32000, Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2188,"Department of Computer Engineering, Bilkent University, Ankara, Turkey","Department of Computer Engineering, Bilkent University, Ankara, Turkey",,,,,,,,,,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,,,,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,,,,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,,,,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,,,,,,,"Department of Computer Engineering, Bilkent University, 06800, Bilkent, Ankara, Turkey",7993,89.0,,,
3734,Oracle,Oracle,,,,Oracle,2218,100.0,,,,Oracle,2218,100.0,Oracle,2218,100.0,,,,Oracle,2218,100.0,,,,,,,,,,,,,,,,,,,,,,Oracle,2218,100.0,Oracle,2218,100.0,Oracle,2218,100.0,Oracle,2218,100.0,Oracle,2218,100.0,,,
4576,"Universität Mannheim, Mannheim, Germany","Universität Mannheim, Mannheim, Germany","University of Mannheim, Mannheim, Germany",770,91.66666666666667,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,,,,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,,,,,,,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,,,,,,,,,,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,,,,,,,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,"University of Mannheim, Mannheim, Germany",770,91.66666666666667,,,
5659,"University of Illinois at Chicago, Chicago, IL, USA","University of Illinois at Chicago, Chicago, IL, USA","Univ. of Illinois at Chicago, Chicago, IL",460,88.33333333333333,"University of Illinois at Chicago, Chicago, IL",787,97.0,"University of Illinois at Chicago, Chicago, IL",787,97.0,,,,"University of Illinois at Chicago, Chicago, IL",787,97.0,"Univ. of Illinois at Chicago, Chicago, IL",460,88.33333333333333,"University of Illinois at Chicago, Chicago, IL",787,97.0,"Univ. of Illinois at Chicago, Chicago, IL",460,88.33333333333333,"Univ. of Illinois at Chicago, Chicago, IL",460,88.33333333333333,,,,"Univ. of Illinois at Chicago, Chicago, IL",460,88.33333333333333,,,,"Univ. of Illinois at Chicago, Chicago, IL",460,88.33333333333333,"University of Illinois at Chicago, Chicago, IL",787,97.0,,,,"Univ. of Illinois at Chicago, Chicago, IL",460,88.33333333333333,,,,,,,"University of Illinois at Chicago, Chicago, IL",787,97.0,,,
1662,"University of the Saarland, Department of Computer Science, Saarbruecken, Germany","University of the Saarland, Department of Computer Science, Saarbruecken, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7999,"Bell Labs, Lucent Technologies, Murray Hill, New Jersey","Bell Labs, Lucent Technologies, Murray Hill, New Jersey","Bell Labs, Lucent Technologies, Murray Hill, NJ",8206,93.33333333333333,,,,,,,,,,,,,,,,"Bell Labs, Lucent Technologies, Murray Hill, NJ",8206,93.33333333333333,"Bell Labs, Lucent Technologies, Murray Hill, NJ",8206,93.33333333333333,,,,,,,,,,,,,"Bell Labs, Lucent Technologies, Murray Hill, NJ",8206,93.33333333333333,,,,,,,,,,"Bell Labs, Lucent Technologies, Murray Hill, NJ",8206,93.33333333333333,,,,,,,,,
7509,"Intel Research Laboratory, Berkeley, CA","Intel Research Laboratory, Berkeley, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6494,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 Munich, Germany","Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 Munich, Germany",,,,,,,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",6839,97.33333333333333,,,,,,,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",6839,97.33333333333333,,,,,,,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",6839,97.33333333333333,,,,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",6839,97.33333333333333,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",6839,97.33333333333333,,,,,,,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",6839,97.33333333333333,,,,,,,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",6839,97.33333333333333,"Institute for Computer Science, University of Munich, Oettingenstr. 67, D-80538 München, Germany",6839,97.33333333333333,,,
8752,"Department of Computer Science, University of Southern Maine, Portland, USA","Department of Computer Science, University of Southern Maine, Portland, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,"HP, Palo Alto, CA, USA","HP, Palo Alto, CA, USA",,,,,,,"HP Labs, Palo Alto, CA, USA",5805,89.66666666666667,,,,"HP Labs, Palo Alto, CA, USA",5805,89.66666666666667,,,,,,,,,,,,,"HP Labs, Palo Alto, CA, USA",5805,89.66666666666667,,,,"HP Labs, Palo Alto, CA, USA",5805,89.66666666666667,,,,,,,"HP Labs, Palo Alto, CA, USA",5805,89.66666666666667,,,,"HP Labs, Palo Alto, CA, USA",5805,89.66666666666667,,,,,,,,,
5172,"University of Edinburgh & Bell Laboratories, Edinburgh, United Kingdom","University of Edinburgh & Bell Laboratories, Edinburgh, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,University of Waterloo,University of Waterloo,,,,"University of Waterloo, Canada",2851,90.33333333333333,"University of Waterloo, Canada",2851,90.33333333333333,,,,,,,"University of Waterloo, Canada",2851,90.33333333333333,"University of Waterloo, Canada",2851,90.33333333333333,,,,"University of Waterloo, Canada",2851,90.33333333333333,"University of Waterloo, Canada",2851,90.33333333333333,"University of Waterloo, Canada",2851,90.33333333333333,"University of Waterloo, Canada",2851,90.33333333333333,"University of Waterloo, Canada",2851,90.33333333333333,,,,"University of Waterloo, Canada",2851,90.33333333333333,"University of Waterloo, Canada",2851,90.33333333333333,,,,,,,"University of Waterloo, Canada",2851,90.33333333333333,,,
8162,"Microsoft Corporation, USA","Microsoft Corporation, USA",,,,Microsoft Corporation,2549,93.33333333333333,,,,Microsoft Corporation,2549,93.33333333333333,Microsoft Corporation,2549,93.33333333333333,,,,,,,,,,Microsoft Corporation,2549,93.33333333333333,Microsoft Corporation,2549,93.33333333333333,,,,,,,,,,Microsoft Corporation,2549,93.33333333333333,Microsoft Corporation,2549,93.33333333333333,Microsoft Corporation,2549,93.33333333333333,,,,Microsoft Corporation,2549,93.33333333333333,,,,,,
3460,University of Munich,University of Munich,,,,,,,"University of Munich, Germany",4163,88.33333333333333,"University of Munich, Germany",4163,88.33333333333333,University of Munchen,3923,93.66666666666667,University of Munchen,3923,93.66666666666667,,,,University of Munchen,3923,93.66666666666667,"University of Munich, Germany",4163,88.33333333333333,,,,"University of Munich, Germany",4163,88.33333333333333,"University of Munich, Germany",4163,88.33333333333333,,,,University of Munchen,3923,93.66666666666667,"University of Munich, Germany",4163,88.33333333333333,University of Munchen,3923,93.66666666666667,,,,,,,"University of Munich, Germany",4163,88.33333333333333,,,
8087,"Department of Computer Science, Brandeis University, USA","Department of Computer Science, Brandeis University, USA",,,,"Department of Computer Science, Brandeis University, Waltham, MA",1533,91.66666666666667,"Department of Computer Science, Boston University, USA",8151,90.33333333333333,"Department of Computer Science, Brandeis University, Waltham, MA",1533,91.66666666666667,"Department of Computer Science, Brown University",728,89.0,"Department of Computer Science, Brandeis University, Waltham, MA",1533,91.66666666666667,"Department of Computer Science, Brandeis University",1539,97.0,"Department of Computer Science, Brandeis University",1539,97.0,"Department of Computer Science, Brandeis University, Waltham, MA",1533,91.66666666666667,"Department of Computer Science, Brandeis University, Waltham, MA",1533,91.66666666666667,"Department of Computer Science, Stanford University, USA",8078,88.33333333333333,"Department of Computer Sciences, Purdue University, USA",8060,89.0,"Department of Computer Science, Purdue University, USA",8379,89.66666666666667,"Department of Computer Science, Brown University, USA",8085,92.66666666666667,"Department of Computer Sciences, Purdue University, USA",8060,89.0,"Department of Computer Science, Brandeis University, Waltham, MA",1533,91.66666666666667,"Department of Computer Science, Brown University",728,89.0,,,,"Department of Computer Science, Stanford University, USA",8078,88.33333333333333,,,
450,"Institute of Information Systems, ETH Zurich, Zurich, Switzerland","Institute of Information Systems, ETH Zurich, Zurich, Switzerland","Institute of Information Systems, ETH Zurich, Switzerland",4416,91.0,,,,"Institute of Information Systems, ETH Zurich, Switzerland",4416,91.0,,,,,,,,,,,,,"Institute of Information Systems, ETH Zurich, Switzerland",4416,91.0,,,,,,,,,,,,,"Institute of Information Systems, ETH Zurich, Switzerland",4416,91.0,,,,,,,,,,,,,,,,,,,,,
3717,University of Michigan at Ann Arbor,University of Michigan at Ann Arbor,"University of Michigan, Ann Arbor, MI",101,91.33333333333333,"University of Michigan, Ann Arbor",1081,93.66666666666667,,,,,,,"University of Michigan, Ann Arbor",1081,93.66666666666667,"University of Michigan, Ann Arbor, MI",101,91.33333333333333,,,,,,,"University of Michigan, Ann Arbor, MI",101,91.33333333333333,,,,,,,"University of Michigan, Ann Arbor",1081,93.66666666666667,"University of Michigan, Ann Arbor, MI",101,91.33333333333333,,,,,,,,,,,,,,,,,,,,,
7657,"DEIS---CSITE--CNR, University of Bologna, Bologna, Italy","DEIS---CSITE--CNR, University of Bologna, Bologna, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,"Laboratory for Foundations of Computer Science, School of Informatics, University of Edinburgh, UK","Laboratory for Foundations of Computer Science, School of Informatics, University of Edinburgh, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5692,"University of Michigan, Ann Arbor, MI, USA","University of Michigan, Ann Arbor, MI, USA","University of Michigan, Ann Arbor, MI",101,96.33333333333333,"University of Michigan, Ann Arbor",1081,92.66666666666667,,,,,,,"University of Michigan, Ann Arbor",1081,92.66666666666667,"University of Michigan, Ann Arbor, MI",101,96.33333333333333,,,,,,,"University of Michigan, Ann Arbor, MI",101,96.33333333333333,,,,,,,"University of Michigan, Ann Arbor",1081,92.66666666666667,"University of Michigan, Ann Arbor, MI",101,96.33333333333333,,,,,,,,,,,,,,,,,,,,,
8888,"Computer Science Department, University of California, Los Angeles, Los Angeles, USA 90095","Computer Science Department, University of California, Los Angeles, Los Angeles, USA 90095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,"Department of Computer and Information Science, The University of Michigan - Dearborn, Dearborn, MI","Department of Computer and Information Science, The University of Michigan - Dearborn, Dearborn, MI",,,,,,,,,,,,,"Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA",8019,92.66666666666667,,,,,,,"Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA",8019,92.66666666666667,,,,,,,,,,"Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA",8019,92.66666666666667,"Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA",8019,92.66666666666667,"Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA",8019,92.66666666666667,"Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA",8019,92.66666666666667,"Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA",8019,92.66666666666667,,,,"Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA",8019,92.66666666666667,"Department of Computer and Information Science, The University of Michigan - Dearborn, MI 48128, Dearborn, USA",8019,92.66666666666667,,,
2203,"The Hebrew University of Jerusalem, Edmond J. Safra Campus Jerusalem, Israel","The Hebrew University of Jerusalem, Edmond J. Safra Campus Jerusalem, Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,"Univ. of Louisiana at Lafayette, Lafayette, LA","Univ. of Louisiana at Lafayette, Lafayette, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4513,"University of Genova, Italy","University of Genova, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9486,"Department of Computer Science, University of Hong Kong, Hong Kong, Hong Kong","Department of Computer Science, University of Hong Kong, Hong Kong, Hong Kong",,,,"Department of Computer Science, City University of Hong Kong, Hong Kong",1522,90.66666666666667,"Department of Computer Science, City University of Hong Kong, Hong Kong",1522,90.66666666666667,"Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong",1274,89.33333333333333,,,,"Department of Computer Science, City University of Hong Kong, Hong Kong",1522,90.66666666666667,"Department of Computer Science, University of Hong Kong, Hong Kong, China",8686,92.0,"Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong",1274,89.33333333333333,"Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong",1274,89.33333333333333,"Department of Computer Science, University of Hong Kong, Hong Kong, China",8686,92.0,"Department of Computer Science, University of Hong Kong, Hong Kong, China",8686,92.0,"Department of Computer Science, University of Hong Kong, Hong Kong, China",8686,92.0,"Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong",1274,89.33333333333333,"Department of Computer Science, City University of Hong Kong, Hong Kong",1522,90.66666666666667,,,,"Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong",1274,89.33333333333333,"Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong",1274,89.33333333333333,"Department of Computer Science, University of Hong Kong, Hong Kong",515,95.0,,,,,,
1508,"Stanford University, Palo Alto","Stanford University, Palo Alto","Stanford University, Palo Alto, USA",8645,95.33333333333333,,,,"Stanford University, Palo Alto, CA",1591,96.33333333333333,,,,,,,"Stanford University, Palo Alto, USA",8645,95.33333333333333,"Stanford University, Palo Alto, USA",8645,95.33333333333333,"Stanford University, Palo Alto, USA",8645,95.33333333333333,,,,"Stanford University, Palo Alto, CA",1591,96.33333333333333,"Stanford University, Palo Alto, USA",8645,95.33333333333333,"Stanford University, Palo Alto, USA",8645,95.33333333333333,"Stanford University, Palo Alto, USA",8645,95.33333333333333,"Stanford University, Palo Alto, USA",8645,95.33333333333333,"Stanford University, Palo Alto, CA",1591,96.33333333333333,,,,"Stanford University, Palo Alto, USA",8645,95.33333333333333,,,,,,,,,
4573,"The University of Queensland, Brisbane, Australia","The University of Queensland, Brisbane, Australia",,,,,,,,,,,,,,,,,,,"University of Queensland, Brisbane, Australia",1532,97.33333333333333,,,,"University of Queensland, Brisbane, Australia",1532,97.33333333333333,"University of Queensland, Brisbane, Australia",1532,97.33333333333333,"University of Queensland, Brisbane, Australia",1532,97.33333333333333,"University of Queensland, Brisbane, Australia",1532,97.33333333333333,"University of Queensland, Brisbane, Australia",1532,97.33333333333333,,,,,,,,,,"University of Queensland, Brisbane, Australia",1532,97.33333333333333,"University of Queensland, Brisbane, Australia",1532,97.33333333333333,"University of Queensland, Brisbane, Australia",1532,97.33333333333333,,,
3961,"PRISM Laboratory, University of Versailles, France","PRISM Laboratory, University of Versailles, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,"IBM Deutschland, Böblingen, Germany","IBM Deutschland, Böblingen, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,BEA Systems,BEA Systems,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, Inc.",2465,88.0,"BEA Systems, Inc.",2465,88.0,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, Inc.",2465,88.0,"BEA Systems, Inc.",2465,88.0,,,,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, USA",8070,88.66666666666667,,,,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, Inc.",2465,88.0,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, USA",8070,88.66666666666667,"BEA Systems, Inc.",2465,88.0,,,
2886,"IBM Almaden Research, San Jose, CA","IBM Almaden Research, San Jose, CA",,,,,,,,,,,,,,,,,,,"IBM Almaden Research Lab, San Jose, CA",5371,92.0,"IBM Almaden Research Lab, San Jose, CA",5371,92.0,"IBM Almaden Research Lab, San Jose, CA",5371,92.0,,,,,,,,,,,,,"IBM Almaden Research Lab, San Jose, CA",5371,92.0,,,,,,,,,,"IBM Almaden Research Lab, San Jose, CA",5371,92.0,,,,,,
8766,"Computer Science Department, Technion--Israel Institute of Technology, Haifa, Israel","Computer Science Department, Technion--Israel Institute of Technology, Haifa, Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"Intel Corporation, Santa Clara, CA","Intel Corporation, Santa Clara, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9210,"Microsoft Research One Microsoft Way Red mond, WA","Microsoft Research One Microsoft Way Red mond, WA","Microsoft Research, One Microsoft Way, Redmond, WA",767,94.66666666666667,,,,,,,"Microsoft Research, One Microsoft Way, Redmond, WA",767,94.66666666666667,"Microsoft Research, One MicrosoftWay, Redmond, WA",6481,91.66666666666667,"Microsoft Research, One MicrosoftWay, Redmond, WA",6481,91.66666666666667,"Microsoft Research One Microsoft Way Redmond, WA",9211,96.0,"Microsoft Research, One Microsoft Way, Redmond, WA",767,94.66666666666667,"Microsoft Research, One MicrosoftWay, Redmond, WA",6481,91.66666666666667,"Microsoft Research, One MicrosoftWay, Redmond, WA",6481,91.66666666666667,"Microsoft Research One Microsoft Way Redmond, WA",9211,96.0,,,,"Microsoft Research One Microsoft Way Redmond, WA",9211,96.0,"Microsoft Research One Microsoft Way Redmond, WA",9211,96.0,"Microsoft Research, One Microsoft Way, Redmond, WA",767,94.66666666666667,"Microsoft Research, One Microsoft Way, Redmond, WA",767,94.66666666666667,,,,"Microsoft Research, One MicrosoftWay, Redmond, WA",6481,91.66666666666667,"Microsoft Research, One Microsoft Way, Redmond, WA",767,94.66666666666667,,,
2647,"Motorola Labs, Schaumburg, IL","Motorola Labs, Schaumburg, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4865,University of Helsinki,University of Helsinki,,,,,,,,,,"University of Helsinki, Finland",8286,89.33333333333333,,,,,,,,,,"University of Helsinki, Finland",8286,89.33333333333333,,,,"University of Helsinki, Finland",8286,89.33333333333333,"University of Helsinki, Finland",8286,89.33333333333333,,,,"University of Helsinki, Finland",8286,89.33333333333333,"University of Helsinki, Finland",8286,89.33333333333333,,,,,,,,,,,,,"University of Helsinki, Finland",8286,89.33333333333333,,,
7857,"Computer Science Department, Stanford University, Stanford, CA 94305, USA; E-mail: hector@db.stanford.edu","Computer Science Department, Stanford University, Stanford, CA 94305, USA; E-mail: hector@db.stanford.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Univ. of Melbourne,Univ. of Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
